name,position,team,nationality,transfermarkt_value_m,sofascore_id,photo_url
Otar Kakabadze,DEF,Géorgie,Géorgie,3.0,442490,
Georges Mikautadze,ATT,Géorgie,Géorgie,20.0,851124,
Giorgi Chakvetadze,MID,Géorgie,Géorgie,5.0,590019,
Zuriko Davitashvili,ATT,Géorgie,Géorgie,8.0,811562,
Nika Kvekveskiri,MID,Géorgie,Géorgie,3.0,286578,
Tornike Okriashvili,ATT,Géorgie,Géorgie,5.0,244396,
Rúben Semedo,DEF,Algérie,Algérie,5.0,205488,
Rais M'Bolhi,GK,Algérie,Algérie,2.0,100893,
Aissa Mandi,DEF,Algérie,Algérie,5.0,214461,
Riyad Mahrez,ATT,Algérie,Algérie,8.0,175619,
Sofiane Feghouli,MID,Algérie,Algérie,3.0,100894,
Islam Slimani,ATT,Algérie,Algérie,3.0,90572,
Youcef Atal,DEF,Algérie,Algérie,8.0,368073,
Andy Delort,ATT,Algérie,Algérie,3.0,146839,
Ayman Yahia,GK,Algérie,Algérie,3.0,685000,
Thomas Partey,MID,Ghana,Ghana,12.0,235243,
Lawrence Ati Zigi,GK,Ghana,Ghana,5.0,588898,
Joe Wollacott,GK,Ghana,Ghana,3.0,568038,
Abdul Rahman Baba,DEF,Ghana,Ghana,5.0,234617,
Daniel Amartey,DEF,Ghana,Ghana,8.0,235244,
Alexander Djiku,DEF,Ghana,Ghana,8.0,338764,
Mubarak Wakaso,MID,Ghana,Ghana,3.0,186059,
André Ayew,ATT,Ghana,Ghana,3.0,101441,
Jordan Ayew,ATT,Ghana,Ghana,5.0,173280,
Mohammed Kudus,ATT,Ghana,Ghana,40.0,826375,
Antoine Semenyo,ATT,Ghana,Ghana,20.0,902175,
Inaki Williams,ATT,Ghana,Ghana,15.0,363467,
Alassane Plea,ATT,Ghana,Ghana,8.0,264826,
Mehdi Taremi,ATT,Iran,Iran,15.0,323773,
Alireza Beiranvand,GK,Iran,Iran,3.0,307272,
Ehsan Hajsafi,DEF,Iran,Iran,3.0,194296,
Majid Hosseini,DEF,Iran,Iran,5.0,475416,
Milad Mohammadi,DEF,Iran,Iran,3.0,224498,
Saeid Ezatolahi,MID,Iran,Iran,5.0,317793,
Alireza Jahanbakhsh,ATT,Iran,Iran,8.0,248580,
Sardar Azmoun,ATT,Iran,Iran,12.0,353893,
Ali Gholizadeh,ATT,Iran,Iran,5.0,451044,
Ryan,GK,Australie,Australie,3.0,197044,
Mat Ryan,GK,Australie,Australie,5.0,197044,
Aziz Behich,DEF,Australie,Australie,3.0,210043,
Harry Souttar,DEF,Australie,Australie,12.0,696513,
Bailey Wright,DEF,Australie,Australie,3.0,340218,
Aaron Mooy,MID,Australie,Australie,3.0,188297,
Ajdin Hrustic,MID,Australie,Australie,5.0,453036,
Mathew Leckie,ATT,Australie,Australie,3.0,195060,
Martin Boyle,ATT,Australie,Australie,5.0,323792,
Mitchell Duke,ATT,Australie,Australie,3.0,268892,
Riley McGree,MID,Australie,Australie,8.0,518398,
Craig Goodwin,ATT,Australie,Australie,3.0,316576,
Edin Džeko,ATT,Bosnie,Bosnie,5.0,54405,
Asmir Begović,GK,Bosnie,Bosnie,3.0,68756,
Sead Kolašinac,DEF,Bosnie,Bosnie,5.0,153600,
Ermedin Demirović,ATT,Bosnie,Bosnie,20.0,653444,
Miralem Pjanić,MID,Bosnie,Bosnie,5.0,95810,
Anel Ahmedhodžić,DEF,Bosnie,Bosnie,15.0,669009,
Haris Hajradinović,MID,Bosnie,Bosnie,5.0,420620,
Neven Đurić,ATT,Bosnie,Bosnie,3.0,239866,
Jusuf Gazibegović,DEF,Bosnie,Bosnie,5.0,534760,
Strahinja Pavlović,DEF,Bosnie,Bosnie,25.0,918041,
Ryan Mendes,ATT,Cap-Vert,Cap-Vert,5.0,274213,
Vozinha,GK,Cap-Vert,Cap-Vert,2.0,256124,
Stopira,DEF,Cap-Vert,Cap-Vert,3.0,193494,
Garry Rodrigues,ATT,Cap-Vert,Cap-Vert,3.0,219891,
Kenny Rocha,MID,Cap-Vert,Cap-Vert,3.0,252743,
Gilson Benchimol,MID,Cap-Vert,Cap-Vert,3.0,412601,
Jamiro Monteiro,MID,Cap-Vert,Cap-Vert,3.0,358090,
Steven Fortes,DEF,Cap-Vert,Cap-Vert,3.0,256121,
Aymen Barkok,MID,Irak,Irak,5.0,438988,
Jalal Hassan,GK,Irak,Irak,2.0,397680,
Ali Adnan,DEF,Irak,Irak,5.0,237460,
Ahmed Ibrahim,DEF,Irak,Irak,3.0,385640,
Amjed Attwan,MID,Irak,Irak,3.0,589021,
Mohanad Laftah,ATT,Irak,Irak,3.0,431830,
Ali Jasim,ATT,Irak,Irak,3.0,553694,
Chancel Mbemba,DEF,RD Congo,RD Congo,8.0,286504,
Joël Kiassumbua,GK,RD Congo,RD Congo,3.0,372461,
Cédric Bakambu,ATT,RD Congo,RD Congo,5.0,205491,
Yannick Bolasie,ATT,RD Congo,RD Congo,3.0,128742,
Théo Bongonda,ATT,RD Congo,RD Congo,8.0,430965,
Arthur Masuaku,DEF,RD Congo,RD Congo,5.0,253897,
Tobias Sippel,GK,Rép. Tchèque,Rép. Tchèque,3.0,101498,
Jiří Pavlenka,GK,Rép. Tchèque,Rép. Tchèque,5.0,270982,
Ondřej Čelůstka,DEF,Rép. Tchèque,Rép. Tchèque,3.0,116440,
Vladimír Coufal,DEF,Rép. Tchèque,Rép. Tchèque,8.0,343791,
Tomáš Holeš,DEF,Rép. Tchèque,Rép. Tchèque,5.0,367823,
Lukáš Provod,MID,Rép. Tchèque,Rép. Tchèque,8.0,573434,
Tomáš Souček,MID,Rép. Tchèque,Rép. Tchèque,20.0,498497,
Patrik Schick,ATT,Rép. Tchèque,Rép. Tchèque,20.0,211747,
Adam Hložek,ATT,Rép. Tchèque,Rép. Tchèque,20.0,852765,
Karlo Bartolec,DEF,Haïti,Haïti,3.0,508361,
Josue Duverger,GK,Haïti,Haïti,2.0,516438,
Mechak Jerome,DEF,Haïti,Haïti,2.0,486738,
Frantzdy Pierrot,ATT,Haïti,Haïti,2.0,461338,
Duckens Nazon,ATT,Haïti,Haïti,2.0,372453,
Kevin Lafrance,ATT,Haïti,Haïti,2.0,344680,
Etienne Eto,MID,Haïti,Haïti,2.0,602531,
Ethan Bristow,DEF,Curaçao,Curaçao,3.0,493271,
Eloy Room,GK,Curaçao,Curaçao,5.0,328254,
Cuco Martina,DEF,Curaçao,Curaçao,2.0,243985,
Jurien Gaari,DEF,Curaçao,Curaçao,2.0,466832,
Leandro Bacuna,MID,Curaçao,Curaçao,3.0,298413,
Jurgen Locadia,ATT,Curaçao,Curaçao,3.0,258248,
Charlison Benschop,ATT,Curaçao,Curaçao,2.0,286571,
Mohammed Al-Owais,GK,Arabie Saoudite,Arabie Saoudite,5.0,442454,
Ali Al-Bulayhi,DEF,Arabie Saoudite,Arabie Saoudite,3.0,237898,
Mohammed Al-Burayk,DEF,Arabie Saoudite,Arabie Saoudite,3.0,352264,
Abdulelah Al-Malki,MID,Arabie Saoudite,Arabie Saoudite,3.0,521756,
Mohammed Al-Qasem,MID,Arabie Saoudite,Arabie Saoudite,3.0,519043,
Salem Al-Dawsari,ATT,Arabie Saoudite,Arabie Saoudite,5.0,331320,
Sami Al-Najei,ATT,Arabie Saoudite,Arabie Saoudite,3.0,400741,
Firas Al-Buraikan,ATT,Arabie Saoudite,Arabie Saoudite,5.0,603867,
Yassine Meriah,DEF,Tunisie,Tunisie,5.0,344413,
Bechir Ben Saïd,GK,Tunisie,Tunisie,3.0,249681,
Ali Maaloul,DEF,Tunisie,Tunisie,3.0,250337,
Ellyes Skhiri,MID,Tunisie,Tunisie,12.0,399349,
Aissa Laïdouni,MID,Tunisie,Tunisie,8.0,547474,
Seifeddine Jaziri,ATT,Tunisie,Tunisie,3.0,328456,
Wahbi Khazri,ATT,Tunisie,Tunisie,5.0,186291,
Youssef Msakni,ATT,Tunisie,Tunisie,3.0,172558,
Nassim Boujellab,MID,Tunisie,Tunisie,5.0,527598,
Lebo Mothiba,ATT,Afrique du Sud,Afrique du Sud,5.0,368097,
Ronwen Williams,GK,Afrique du Sud,Afrique du Sud,5.0,325699,
Bongani Zungu,MID,Afrique du Sud,Afrique du Sud,5.0,271982,
Themba Zwane,ATT,Afrique du Sud,Afrique du Sud,3.0,311618,
Siyanda Xulu,DEF,Afrique du Sud,Afrique du Sud,3.0,261524,
Teboho Mokoena,MID,Afrique du Sud,Afrique du Sud,5.0,529851,
Percy Tau,ATT,Afrique du Sud,Afrique du Sud,5.0,447891,
Takuma Nishimura,MID,Afrique du Sud,Afrique du Sud,3.0,951802,
Mostafa Meshaal,GK,Qatar,Qatar,2.0,548723,
Bassam Al-Rawi,DEF,Qatar,Qatar,2.0,512403,
Pedro Miguel,DEF,Qatar,Qatar,3.0,226393,
Abdulaziz Hatem,MID,Qatar,Qatar,3.0,237879,
Hassan Al-Haydos,ATT,Qatar,Qatar,3.0,237880,
Akram Afif,ATT,Qatar,Qatar,8.0,363706,
Mohammed Muntari,ATT,Qatar,Qatar,5.0,601777,
Almoez Ali,ATT,Qatar,Qatar,5.0,527797,
Eldor Shomurodov,ATT,Ouzbékistan,Ouzbékistan,10.0,502208,
Otabek Shukurov,GK,Ouzbékistan,Ouzbékistan,2.0,521478,
Khurshid Makhmudov,MID,Ouzbékistan,Ouzbékistan,2.0,560234,
Bobur Abdixoliqov,MID,Ouzbékistan,Ouzbékistan,3.0,712342,
Javokhir Sidiqov,ATT,Ouzbékistan,Ouzbékistan,3.0,620431,
Temur Juraev,DEF,Ouzbékistan,Ouzbékistan,3.0,587234,
Yasser Al-Yaseen,DEF,Jordanie,Jordanie,2.0,462381,
Amer Shafi,GK,Jordanie,Jordanie,2.0,261561,
Baha' Faisal,ATT,Jordanie,Jordanie,2.0,412803,
Musa Al-Taamari,ATT,Jordanie,Jordanie,3.0,606521,
Yazan Al-Naimat,ATT,Jordanie,Jordanie,2.0,686432,
Stefan Marinović,GK,Nouvelle-Zélande,Nouvelle-Zélande,2.0,396321,
Winston Reid,DEF,Nouvelle-Zélande,Nouvelle-Zélande,3.0,156234,
Liberato Cacace,DEF,Nouvelle-Zélande,Nouvelle-Zélande,5.0,795462,
Clayton Lewis,MID,Nouvelle-Zélande,Nouvelle-Zélande,3.0,478321,
Chris Wood,ATT,Nouvelle-Zélande,Nouvelle-Zélande,5.0,152961,
